,poistion,track_name,artist,popularity,followers,gen_1,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
380,81,I Really Like You,Carly Rae Jepsen,70,5171372,Pop,0.62,0.805,5,-5.538,1,0.0417,9.15E-05,0.285,0.586,122.062,204764,4,FALSE,2hHLbkatPwOOmrNxTiD41L,6sFIWsNpZYqfjUpaCgueju,Emotion (Deluxe Expanded Edition),2015
381,82,Let It Go,James Bay,70,3766710,Pop,0.546,0.311,1,-10.396,1,0.0288,1.65E-05,0.107,0.246,147.464,260533,4,FALSE,13HVjjWUZFaWilh2QUJKsP,4EzkuveR9pLvDVFNx6foYD,Chaos And The Calm,2015
382,83,Five More Hours,Deorro,69,1204425,Dance,0.699,0.883,5,-3.226,0,0.219,0,0.817,0.499,127.961,211975,4,FALSE,3MOECVkNshqHYTPt5DZcdN,6VD4UEUPvtsemqD3mmTqCR,Good Evening,2015
383,84,Love Myself,Hailee Steinfeld,69,8217858,Dance,0.617,0.759,0,-6.785,0,0.0678,0,0.419,0.324,122.924,218773,4,FALSE,36phXHOKx8rO7CMp2vNX4x,5p7f24Rk5HkUZsaS3BLG5F,HAIZ,2015
384,85,GDFR (feat. Sage the Gemini & Lookas),Flo Rida,69,8704966,Dance,0.657,0.827,5,-4.036,1,0.0734,0.00534,0.065,0.69,145.889,190186,4,FALSE,26rdOwwjC2UnweK3xeS58u,0jnsk9HBra6NMjO2oANoPY,My House,2015
385,86,High By The Beach,Lana Del Rey,69,18922353,EDM,0.536,0.486,11,-11.067,0,0.0346,0.00788,0.12,0.0968,131.988,257573,4,TRUE,7g3htkaLz4ETFn0cifwM3y,00FQb4jTyendYWaN8pK0wa,Honeymoon,2015
386,87,Here,Alessia Cara,69,10882398,R&B,0.376,0.821,0,-3.974,1,0.104,0,0.0823,0.331,120.462,199453,4,FALSE,5zUQZjVB6bfewBXWqsP9PY,2wUjUUtkb5lvLKcGKsKqsR,Know-It-All,2015
387,88,Sunset Lover,Petit Biscuit,69,926570,House,0.783,0.467,6,-9.474,1,0.0503,0.809,0.109,0.236,90.838,237793,4,FALSE,0hNduWmlWmEmuwEFcYvRu1,6gK1Uct5FEdaUWRWpU4Cl2,Sunset Lover,2015
388,89,Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,69,2616999,Dance,0.733,0.676,10,-5.655,0,0.0432,0,0.208,0.701,97.448,226581,4,TRUE,0fgZUSa7D7aVvv3GfO0A1n,0f5nVCcR06GX8Qikz0COtT,Sex Playlist,2015
389,90,You Know You Like It,DJ Snake,69,8216009,Dance,0.407,0.725,5,-5.346,0,0.188,2.46E-06,0.306,0.247,196.093,247267,4,FALSE,57kR5SniQIbsbVoIjjOUDa,540vIaP2JwjQb9dm3aArA4,You Know You Like It,2015
390,91,07-Nov,Beyoncé,69,32772772,Dance,0.747,0.705,9,-5.137,0,0.126,0,0.126,0.56,136.024,213507,4,FALSE,02M6vucOvmRfMxTXDUwRXu,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2015
391,92,Water Under the Bridge,Adele,68,44110183,Soul,0.59,0.833,5,-6.503,0,0.0615,5.40E-06,0.105,0.538,94.963,240439,4,FALSE,4jL6WWKFDqCOPo2hC3VhSS,4dpARuHxo51G3z768sgnrY,25,2015
392,93,All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,68,6692014,Hip Hop,0.589,0.658,11,-5.288,0,0.203,0,0.118,0.251,77.521,223973,4,TRUE,0hy1SOTEn9ifXTzOwnCwEr,20sxb77xiYeusSH8cVdatc,Dreams Worth More Than Money,2015
